domain, useragent, type, directory 
www.google.com, *, disallow, /recharge/dashboard/static/
www.google.com, *, disallow, /profiles/me
www.google.com, *, allow, /profiles
www.google.com, *, disallow, /s2/profiles/me
www.google.com, *, allow, /s2/profiles
www.google.com, *, allow, /s2/oz
www.google.com, *, allow, /s2/photos
www.google.com, *, allow, /s2/search/social
www.google.com, *, allow, /s2/static
www.google.com, *, disallow, /s2
www.google.com, *, disallow, /transconsole/portal/
www.google.com, *, disallow, /gcc/
www.google.com, *, disallow, /aclk
www.google.com, *, disallow, /cse?
www.google.com, *, disallow, /cse/home
www.google.com, *, disallow, /cse/panel
www.google.com, *, disallow, /cse/manage
www.google.com, *, disallow, /tbproxy/
www.google.com, *, disallow, /imesync/
www.google.com, *, disallow, /shenghuo/search?
www.google.com, *, disallow, /support/forum/search?
www.google.com, *, disallow, /reviews/polls/
www.google.com, *, disallow, /hosted/images/
www.google.com, *, disallow, /ppob/?
www.google.com, *, disallow, /ppob?
www.google.com, *, disallow, /accounts/clientlogin
www.google.com, *, disallow, /accounts/clientauth
www.google.com, *, disallow, /accounts/o8
www.google.com, *, allow, /accounts/o8/id
www.google.com, *, disallow, /topicsearch?q=
www.google.com, *, disallow, /xfx7/
www.google.com, *, disallow, /squared/api
www.google.com, *, disallow, /squared/search
www.google.com, *, disallow, /squared/table
www.google.com, *, disallow, /qnasearch?
www.google.com, *, disallow, /app/updates
www.google.com, *, disallow, /sidewiki/entry/
www.google.com, *, disallow, /quality_form?
www.google.com, *, disallow, /labs/popgadget/search
www.google.com, *, disallow, /buzz/post
www.google.com, *, disallow, /compressiontest/
www.google.com, *, disallow, /analytics/reporting/
www.google.com, *, disallow, /analytics/admin/
www.google.com, *, disallow, /analytics/web/
www.google.com, *, disallow, /analytics/feeds/
www.google.com, *, disallow, /analytics/settings/
www.google.com, *, disallow, /analytics/portal/
www.google.com, *, disallow, /analytics/uploads/
www.google.com, *, allow, /alerts/manage
www.google.com, *, allow, /alerts/remove
